rainfall_mm,past_rain_3day,past_rain_7day,soil_moisture,ndvi,elevation,slope,river_distance_km,temperature,humidity,month,landslide
20.94,40.5,181.11,0.3842,0.4417,1938.3,19.18,7.321,23.9,59.3,1,0
68.6,214.9,410.71,0.347,0.0947,1245.2,31.3,3.316,28.0,67.2,1,0
3.18,6.3,14.22,0.3299,0.1622,1051.9,6.01,1.729,33.5,46.8,1,0
30.31,77.1,176.07,0.3917,0.3879,324.6,14.1,2.555,29.5,56.2,1,0
44.5,158.63,477.0,0.4323,0.6531,2124.5,10.52,4.107,17.6,63.2,1,0
67.1,122.33,233.88,0.3069,0.2636,958.9,19.38,4.449,29.0,59.7,1,0
49.45,90.12,278.41,0.3212,0.3345,688.8,11.0,7.573,21.3,70.1,1,0
57.35,118.2,509.21,0.4229,0.1733,2357.6,46.51,1.67,29.4,45.9,1,0
51.61,148.63,272.17,0.4353,0.3231,2448.0,6.74,1.042,32.2,69.8,1,0
0.23,0.48,1.34,0.301,0.8286,2682.1,42.06,3.062,16.2,52.6,1,0
38.99,107.55,414.53,0.3741,0.6766,1861.8,13.44,1.612,16.0,65.7,1,0
51.22,115.5,256.07,0.2824,0.4628,3150.4,61.71,2.709,20.8,49.9,1,0
6.09,16.84,33.84,0.2885,0.3034,3289.9,60.99,1.634,11.3,54.2,1,0
15.51,34.03,119.2,0.2879,0.2589,2864.3,18.53,0.498,27.1,50.3,1,0
9.92,39.19,71.6,0.3156,0.7799,2297.5,41.87,1.901,28.7,65.8,1,0
49.32,134.73,534.16,0.3305,0.1533,1202.3,6.68,3.522,18.6,67.7,1,0
28.27,94.96,188.07,0.3209,0.6168,3443.7,60.91,4.818,21.6,49.1,1,0
21.98,71.47,229.82,0.2952,0.5068,1104.6,36.38,2.04,24.8,43.1,1,0
2.04,5.56,21.12,0.3512,0.8603,868.8,7.59,0.542,11.8,45.7,1,0
28.32,59.39,145.7,0.286,0.4444,1659.1,25.55,1.607,27.8,65.0,1,0
15.81,43.91,91.31,0.2895,0.3087,387.6,9.61,4.629,23.2,64.0,1,0
36.09,115.56,262.81,0.3663,0.6102,3429.0,28.58,1.597,25.6,62.3,1,0
1.43,3.78,15.54,0.2804,0.7961,2141.8,45.2,3.577,28.1,51.1,1,0
34.45,58.73,217.63,0.4612,0.8018,2037.9,33.19,2.123,26.9,57.7,1,0
19.03,29.4,68.64,0.3602,0.6001,2364.1,28.02,0.828,12.4,55.5,1,0
1.23,2.85,10.66,0.303,0.621,1840.2,12.15,4.771,29.6,60.1,1,0
3.18,5.96,22.15,0.3228,0.4767,305.8,19.7,0.264,25.3,48.2,1,0
0.58,2.17,9.75,0.1842,0.6644,2220.6,11.01,2.233,27.9,55.4,1,0
24.84,48.18,137.67,0.3889,0.6946,2563.4,53.45,0.703,16.5,53.2,1,0
33.03,82.1,339.47,0.393,0.4432,1575.3,13.11,0.208,15.5,68.0,1,0
36.75,120.54,362.27,0.3683,0.4922,2699.1,40.72,2.097,30.7,65.7,1,0
37.69,133.37,563.35,0.4402,0.5067,949.1,25.56,2.077,19.8,69.1,1,0
11.04,29.74,60.89,0.3465,0.4896,930.2,18.56,3.682,24.4,68.4,1,0
56.46,110.26,250.66,0.329,0.802,732.7,43.37,4.097,23.8,46.3,1,0
18.95,41.25,168.92,0.3526,0.3483,1427.6,32.42,3.904,24.6,61.7,1,0
41.26,105.1,421.66,0.4362,0.2164,2995.1,29.01,1.581,11.7,66.1,1,0
25.9,62.45,163.92,0.3553,0.5007,2932.1,40.57,2.996,17.6,61.3,1,0
39.39,93.43,318.71,0.3507,0.1982,1463.3,34.48,2.581,11.7,63.7,1,0
24.64,45.09,127.75,0.3402,0.4328,2144.1,23.21,1.642,22.0,59.3,1,0
39.84,150.74,275.52,0.4239,0.7092,2578.7,38.54,2.728,32.6,64.6,1,0
29.82,46.94,87.81,0.3566,0.5483,996.0,45.17,8.826,19.7,66.2,1,0
50.35,130.9,254.81,0.2925,0.6626,754.9,6.6,0.643,29.6,71.7,1,0
9.53,37.67,128.23,0.3548,0.2555,3407.9,32.95,7.086,17.2,52.7,1,0
14.25,44.86,114.58,0.3455,0.7614,2237.9,8.46,0.165,31.4,52.8,1,0
5.67,13.54,29.63,0.3641,0.5885,3438.7,16.18,1.106,20.5,51.9,1,0
56.72,105.81,459.31,0.3929,0.1125,1314.6,38.63,1.02,18.9,63.7,1,0
26.14,102.19,217.42,0.3247,0.5273,2520.0,56.97,2.953,27.4,72.1,1,0
32.3,49.58,179.48,0.2673,0.7496,934.6,57.97,0.422,22.8,49.5,1,0
3.66,11.73,49.42,0.2751,0.1399,1062.0,9.2,6.42,18.4,57.1,1,0
31.64,117.08,262.54,0.4126,0.5107,1889.3,30.15,5.29,11.5,65.4,1,0
4.43,6.93,16.48,0.3132,0.7996,1254.7,39.98,3.167,14.2,47.1,1,0
8.11,26.86,89.96,0.3129,0.1227,753.2,13.82,1.84,29.3,54.8,1,0
19.94,79.7,252.88,0.415,0.5549,1067.5,50.93,8.107,33.0,66.1,1,0
41.13,127.46,408.75,0.4357,0.3876,318.0,49.65,5.329,14.2,59.7,1,0
43.8,111.1,366.38,0.336,0.2942,2524.6,59.2,2.075,24.2,73.6,1,0
44.48,163.95,715.58,0.5022,0.5592,1824.0,5.51,3.631,10.9,72.3,1,0
9.7,27.99,54.45,0.2279,0.0989,511.0,18.0,2.511,17.3,47.2,1,0
29.84,100.65,387.84,0.4,0.6678,766.6,54.63,2.66,21.2,50.1,1,0
25.08,74.48,180.82,0.353,0.112,538.4,45.23,1.206,28.4,58.8,1,0
8.3,13.25,37.21,0.3649,0.3999,2221.6,58.66,1.86,11.1,42.6,1,0
30.4,61.8,126.14,0.3441,0.4284,510.9,8.43,0.244,29.5,35.9,1,0
23.74,40.29,120.99,0.3118,0.3466,2689.1,40.82,1.326,15.1,53.2,1,0
42.79,75.6,300.23,0.3514,0.1791,267.7,39.14,3.57,29.0,80.2,1,0
32.03,49.28,101.85,0.4549,0.6491,1022.9,7.14,9.187,25.6,56.0,1,0
16.27,41.53,105.67,0.3251,0.7397,3139.2,35.81,9.896,18.5,57.9,1,0
53.15,103.46,290.43,0.3876,0.736,2571.2,41.57,2.434,28.1,71.5,1,0
25.49,92.77,193.01,0.2373,0.5608,440.8,16.48,2.799,15.9,57.3,2,0
28.43,95.96,370.25,0.3322,0.7683,2909.7,21.4,0.616,15.5,55.9,2,0
14.04,41.19,161.64,0.3581,0.8284,1827.0,43.42,3.565,11.5,64.0,2,0
7.23,19.7,79.9,0.2351,0.3653,2994.4,33.1,0.22,19.8,52.5,2,0
43.16,92.35,311.81,0.3894,0.2165,2182.4,56.48,1.005,12.4,62.2,2,0
1.82,4.88,15.47,0.2668,0.1601,2450.0,25.54,3.311,20.5,56.9,2,0
5.55,17.23,43.24,0.2569,0.4235,3478.6,21.0,1.115,10.2,43.4,2,0
89.59,309.58,1104.86,0.4831,0.6915,966.7,64.09,0.153,13.9,66.8,2,1
3.94,6.72,20.16,0.3804,0.5283,2259.0,59.67,5.349,33.3,38.2,2,0
71.3,233.24,1031.18,0.5215,0.4815,1719.1,6.74,1.115,29.9,75.9,2,0
25.73,86.38,381.31,0.3302,0.2044,330.2,51.24,0.196,15.9,56.4,2,1
16.92,49.02,208.04,0.3801,0.1735,247.8,11.62,0.233,28.0,61.7,2,0
44.21,90.0,249.5,0.3911,0.409,593.5,6.65,0.87,26.7,63.7,2,0
63.45,180.71,504.83,0.3812,0.7652,2342.0,21.42,0.588,14.4,58.1,2,0
1.39,3.82,15.69,0.3511,0.3461,2071.6,21.16,4.466,19.3,47.6,2,0
17.28,46.48,175.16,0.3851,0.8069,2026.3,54.16,1.164,32.8,62.4,2,0
51.21,135.79,502.67,0.4424,0.067,305.1,47.64,4.9,28.5,63.3,2,0
37.24,66.18,169.08,0.2999,0.5957,1748.7,63.9,0.573,29.0,70.7,2,0
57.59,112.71,456.48,0.3317,0.4848,3251.3,47.69,2.037,24.1,63.6,2,0
42.92,74.82,251.72,0.2654,0.7549,1512.1,30.1,3.495,26.6,68.6,2,0
75.24,158.48,476.48,0.3619,0.05,2262.2,46.94,3.167,22.7,58.3,2,0
34.5,74.48,308.11,0.3428,0.256,2773.4,64.97,2.757,28.5,58.5,2,1
35.58,75.18,215.34,0.3285,0.229,2787.0,47.61,7.764,28.3,57.6,2,0
38.08,77.2,275.28,0.3523,0.7924,1913.6,50.7,0.778,10.8,50.2,2,0
26.48,88.39,270.3,0.4404,0.2479,3031.2,61.3,2.042,25.8,66.8,2,0
51.24,181.72,617.93,0.4058,0.0895,1491.5,11.82,6.462,25.7,60.3,2,0
35.96,83.36,159.17,0.3292,0.5372,3132.7,47.29,0.243,11.7,54.8,2,1
49.74,112.56,342.75,0.2772,0.4723,992.7,56.05,0.173,20.3,75.3,2,1
53.65,193.69,639.65,0.5385,0.6514,1124.7,62.26,0.797,32.5,67.4,2,1
40.75,124.69,390.32,0.3118,0.7597,375.3,17.66,3.007,33.8,68.5,2,0
42.58,95.11,388.81,0.3419,0.5126,2825.4,35.24,0.903,29.6,49.2,2,0
4.78,15.7,41.45,0.343,0.7315,1576.3,45.83,0.633,13.8,45.0,2,0
16.28,38.45,160.97,0.3443,0.6699,956.1,19.85,1.842,19.4,71.6,2,0
51.12,151.65,438.18,0.4692,0.2372,964.9,41.03,2.853,14.6,72.2,2,0
65.63,261.31,960.37,0.5268,0.6768,3174.6,20.45,0.857,26.3,61.1,2,0
18.47,41.64,84.69,0.3128,0.5954,2951.9,25.01,1.073,29.3,57.3,2,0
15.84,60.62,141.87,0.3804,0.3623,2026.7,31.49,2.852,32.1,46.8,2,0
30.63,70.5,271.78,0.4121,0.5559,2233.2,36.75,8.742,31.5,70.3,2,0
8.06,22.97,42.11,0.2754,0.3629,1765.3,31.96,3.369,12.5,34.3,2,0
9.48,25.11,110.87,0.3702,0.1834,1492.5,34.59,4.582,13.1,55.0,2,0
41.91,144.93,335.46,0.3555,0.5846,3221.1,22.92,1.371,32.7,64.7,2,0
69.57,114.99,486.8,0.3915,0.6792,614.5,14.54,0.953,31.1,62.0,2,0
20.76,63.68,203.32,0.3475,0.6798,1580.9,7.84,1.817,21.5,54.0,2,0
25.78,87.68,291.5,0.3389,0.2773,1337.1,16.76,4.937,20.8,60.7,2,0
41.62,111.56,226.15,0.3232,0.8728,1843.9,39.92,1.828,23.8,48.3,2,0
49.54,87.36,243.39,0.3976,0.1799,1710.2,52.17,5.627,24.9,54.6,2,0
38.02,80.29,178.39,0.259,0.3031,1912.3,15.15,13.468,16.4,60.2,2,0
74.07,236.98,763.07,0.3985,0.1753,661.7,11.51,0.224,20.1,65.6,2,0
30.76,115.01,378.02,0.4088,0.0958,1893.4,49.96,0.139,25.5,55.5,2,1
62.84,160.49,596.4,0.4148,0.3575,1000.0,23.31,0.486,15.2,68.7,2,0
13.88,40.27,167.96,0.3829,0.667,808.3,62.09,1.455,35.0,46.9,2,0
31.49,65.21,199.81,0.3576,0.7168,414.0,47.86,0.421,17.1,59.2,2,0
0.28,0.71,1.72,0.2337,0.8559,2716.8,24.61,6.136,23.8,52.5,2,0
52.56,123.1,332.44,0.3692,0.6279,1610.6,22.37,0.1,23.9,72.0,2,0
27.03,84.84,346.73,0.3956,0.4115,2267.9,36.42,1.138,21.3,48.1,2,0
38.98,154.45,338.83,0.379,0.5493,2601.1,9.75,0.613,16.0,56.7,2,0
22.2,78.46,274.09,0.331,0.6409,2441.7,12.06,8.044,24.1,61.4,2,0
44.7,88.52,162.47,0.3186,0.4795,1752.7,15.55,3.321,12.3,51.6,2,0
39.97,117.69,289.92,0.3296,0.7086,1480.1,51.48,7.292,19.7,62.8,2,0
5.17,8.62,29.27,0.2396,0.4392,1440.7,35.83,10.762,15.6,51.8,2,0
6.62,14.02,42.5,0.2353,0.4375,2312.2,5.63,2.062,13.1,31.3,2,0
29.34,56.65,177.47,0.3548,0.4046,1832.8,45.41,0.801,33.1,54.8,2,0
46.53,108.82,389.97,0.3339,0.5592,3002.1,30.42,0.646,27.5,66.6,2,0
76.61,244.93,596.01,0.4472,0.5896,3086.5,35.65,0.757,14.2,71.3,2,0
37.61,103.38,264.47,0.3228,0.3993,762.8,17.85,3.699,33.7,57.5,2,0
55.23,211.65,772.09,0.3877,0.492,649.6,38.11,0.124,15.4,67.8,2,0
10.28,20.89,67.97,0.2931,0.801,2280.3,63.75,0.158,15.9,61.0,2,1
80.36,193.72,356.32,0.4755,0.7413,1194.0,9.41,2.811,13.3,78.4,2,0
45.18,105.03,379.14,0.3705,0.2457,261.3,22.04,3.082,28.2,57.5,2,0
28.8,60.19,209.1,0.3738,0.2837,3132.5,19.58,3.283,24.3,47.0,2,0
25.92,103.24,207.75,0.3497,0.5049,948.8,19.91,1.395,11.5,61.9,2,0
2.36,5.82,22.23,0.2342,0.4658,3266.6,27.72,4.919,10.6,41.3,2,0
9.51,36.61,117.52,0.3958,0.0997,2567.5,54.09,2.288,23.3,48.6,2,0
77.8,192.65,453.26,0.3777,0.2246,2716.8,59.77,0.334,26.3,74.9,2,1
5.31,10.68,35.36,0.2415,0.6872,864.8,17.13,4.785,30.6,60.8,2,0
4.83,8.69,29.61,0.2803,0.7585,972.8,37.58,9.177,22.0,61.7,2,0
12.48,45.43,194.62,0.3284,0.4364,1920.2,43.21,0.186,26.9,54.2,2,0
0.08,0.13,0.51,0.3376,0.4693,767.9,36.31,1.49,28.3,45.9,2,0
30.42,118.98,311.15,0.3278,0.4284,1207.9,31.04,2.005,25.3,49.5,2,0
57.26,145.76,308.86,0.4924,0.1252,1260.8,16.52,0.475,18.8,82.8,2,0
14.78,31.3,128.46,0.2787,0.4283,726.8,34.29,6.068,13.3,52.1,2,0
4.29,13.07,53.38,0.3412,0.1553,877.1,29.07,1.003,26.2,56.7,2,0
37.34,68.41,155.52,0.2322,0.4228,2802.2,52.73,4.584,29.2,62.8,2,0
28.64,48.13,94.71,0.3126,0.383,751.7,50.82,3.335,14.7,54.6,2,0
55.11,196.7,732.13,0.4638,0.6178,293.9,13.04,2.734,22.4,62.2,2,0
18.68,47.84,179.46,0.2797,0.5252,2276.9,10.31,0.64,19.9,44.5,2,0
23.54,65.8,149.9,0.4047,0.4442,3420.7,59.49,0.748,15.1,66.0,2,1
26.3,51.07,184.06,0.3583,0.0562,1293.0,37.13,0.146,16.1,56.9,2,0
32.26,53.35,136.21,0.3112,0.3122,591.6,56.47,0.826,15.9,71.1,2,0
20.22,48.93,122.51,0.3455,0.606,2082.3,8.49,1.271,20.5,52.5,2,0
16.17,44.72,119.69,0.2941,0.144,3191.0,36.59,5.372,19.8,52.5,2,0
16.22,55.37,177.46,0.3978,0.1705,2787.4,37.37,1.369,23.9,45.8,2,0
15.9,43.78,173.89,0.3853,0.588,2254.3,56.64,4.215,12.3,52.3,2,0
47.92,165.62,521.11,0.4222,0.6324,1239.7,10.86,1.736,24.5,54.5,2,0
51.3,91.75,238.97,0.3781,0.2786,1988.2,19.43,4.61,10.5,68.6,2,0
18.26,30.31,126.91,0.2514,0.4281,501.1,29.39,11.223,16.4,56.3,2,0
62.53,118.62,231.16,0.4193,0.7377,2440.5,56.95,0.823,22.6,80.6,2,0
29.32,100.57,397.48,0.374,0.8455,2592.8,61.33,5.949,27.2,47.1,2,0
3.41,11.58,45.36,0.3603,0.2484,3384.6,64.56,2.917,29.3,60.8,2,0
11.27,20.89,51.9,0.3478,0.6732,1059.3,62.55,5.1,10.9,45.6,2,0
60.5,95.43,222.87,0.3948,0.4784,260.9,5.36,3.163,23.4,70.9,2,0
20.71,66.56,276.99,0.3026,0.8028,2000.5,7.86,1.655,18.9,47.1,2,0
0.31,1.14,3.76,0.2547,0.4728,2532.4,13.86,0.777,27.4,51.7,2,0
26.44,89.52,172.25,0.4466,0.5914,2808.3,25.93,0.218,17.1,37.8,2,0
20.15,40.43,170.03,0.2578,0.7105,839.3,54.8,2.3,28.6,50.7,2,0
40.16,118.84,325.91,0.3099,0.4837,1063.8,58.56,13.915,25.1,62.9,2,0
12.6,42.75,116.43,0.3253,0.7199,1891.6,16.21,4.019,29.7,67.8,2,0
3.71,7.93,28.06,0.3078,0.2823,1291.0,42.18,1.19,34.6,34.1,2,0
16.3,45.97,164.82,0.3057,0.1411,3039.7,60.04,5.267,32.7,54.9,2,0
61.12,139.73,384.8,0.4073,0.3513,1763.4,32.82,4.396,24.8,64.2,2,0
4.79,9.88,21.6,0.3494,0.8068,2838.6,11.21,0.992,32.3,36.1,2,0
14.0,54.92,180.75,0.335,0.4971,2116.0,32.47,0.1,13.8,45.2,2,0
60.31,228.05,795.44,0.4446,0.5218,2751.2,27.55,0.377,11.1,64.3,2,0
42.39,110.82,456.88,0.3897,0.5506,1297.8,39.66,6.294,23.3,66.5,2,0
34.52,63.58,197.6,0.3144,0.1488,2943.7,31.32,5.434,34.4,61.1,2,0
13.83,45.91,162.66,0.2474,0.3954,1106.1,6.04,1.05,27.7,43.6,2,0
31.24,66.82,130.1,0.3409,0.5915,2002.1,64.64,1.007,17.6,44.7,3,0
17.03,32.72,137.91,0.3657,0.8281,906.2,37.61,4.723,26.7,58.4,3,0
8.99,22.06,59.2,0.3041,0.1301,1769.2,33.42,8.329,11.0,51.1,3,0
3.47,9.81,34.41,0.1936,0.4293,1250.0,62.28,4.531,21.8,63.9,3,0
50.08,87.31,373.12,0.3455,0.1563,1080.1,14.35,2.791,15.9,62.2,3,0
28.96,84.85,338.41,0.4125,0.2839,3391.1,16.35,0.834,11.2,67.8,3,0
38.34,58.98,207.71,0.2694,0.301,728.2,53.48,2.238,16.2,65.9,3,0
34.27,127.8,472.84,0.4287,0.4412,2798.2,20.65,0.798,28.1,66.9,3,0
41.5,157.77,676.26,0.4121,0.1947,3447.7,52.95,4.951,23.8,65.9,3,0
24.11,80.34,320.77,0.3628,0.2669,265.7,21.29,1.468,10.6,60.9,3,0
18.43,49.15,169.4,0.2994,0.7008,2506.8,6.99,5.382,20.2,37.2,3,0
10.09,21.57,77.19,0.2586,0.7787,1034.6,36.02,1.442,28.8,51.1,3,0
4.87,16.38,36.0,0.3789,0.4044,333.6,16.8,5.214,33.9,46.2,3,0
2.42,9.28,28.49,0.3465,0.6791,1529.5,50.47,1.216,31.9,60.9,3,0
21.34,40.47,105.73,0.3532,0.2826,3286.2,43.47,1.74,10.0,48.4,3,0
9.6,25.58,75.89,0.3605,0.8065,238.8,60.42,2.867,15.5,50.6,3,0
4.08,9.34,33.52,0.3318,0.5173,2140.0,51.98,0.219,15.2,57.6,3,0
56.53,135.21,297.82,0.4064,0.6281,1854.6,15.85,8.882,20.3,69.4,3,0
36.08,90.72,167.55,0.3001,0.05,3082.2,53.01,2.557,26.1,62.2,3,0
19.18,74.4,213.67,0.4113,0.4873,477.2,43.5,2.127,13.8,64.6,3,0
87.26,187.32,500.13,0.4638,0.4482,2449.0,45.14,5.486,32.9,78.3,3,1
10.73,29.32,86.04,0.3361,0.3485,2444.4,54.94,6.024,29.4,48.9,3,0
54.87,212.81,918.11,0.468,0.2907,2408.0,39.43,2.216,20.5,56.1,3,0
27.69,74.48,276.27,0.2937,0.5239,3309.7,32.96,7.863,24.6,62.2,3,0
50.1,183.32,492.05,0.4092,0.614,2916.2,43.2,0.201,23.5,58.9,3,0
33.2,54.68,124.88,0.4091,0.05,338.5,22.88,0.36,24.6,58.0,3,0
16.33,63.41,220.02,0.2857,0.4474,1754.6,15.96,2.725,31.5,63.5,3,0
32.86,64.7,231.33,0.3969,0.1898,1513.2,42.0,1.311,15.0,58.1,3,0
38.86,153.51,476.75,0.3712,0.2025,1223.5,19.03,1.872,27.1,58.1,3,0
24.32,47.16,111.99,0.3029,0.5246,1689.4,9.79,1.193,12.7,55.1,3,0
79.08,206.46,387.55,0.3182,0.1988,1467.8,5.03,1.556,21.5,71.7,3,0
38.25,86.9,218.75,0.3058,0.364,1626.7,41.5,5.189,25.9,53.5,3,0
47.27,122.11,370.54,0.406,0.2837,3431.6,26.73,2.7,10.3,77.6,3,0
1.34,2.84,11.16,0.3408,0.4989,492.5,50.14,17.793,12.7,46.0,3,0
47.74,186.82,766.93,0.4642,0.5238,3243.4,27.51,4.638,12.3,70.6,3,0
57.71,130.68,380.92,0.3506,0.8358,1784.8,34.16,0.959,19.4,59.2,3,0
36.81,115.34,455.56,0.3353,0.2346,2258.3,29.43,0.921,25.6,65.4,3,0
30.24,55.75,249.88,0.3527,0.5337,2939.6,44.03,1.228,34.9,60.4,3,0
8.14,28.97,108.19,0.3032,0.2458,1389.5,26.37,5.559,16.4,52.6,3,0
25.07,71.61,269.75,0.3642,0.3861,1620.4,62.83,0.1,13.4,58.9,3,1
17.67,69.79,297.0,0.3429,0.6187,1551.4,61.17,0.785,20.4,58.6,3,0
44.77,114.56,310.79,0.347,0.2691,1436.6,55.88,7.059,13.6,61.6,3,0
9.23,18.35,33.59,0.3146,0.4642,3254.2,60.22,3.064,10.6,51.4,3,0
44.59,105.46,470.86,0.4112,0.2468,2935.5,31.95,0.772,24.1,68.0,3,0
9.5,31.75,99.21,0.3809,0.05,559.7,37.19,0.742,32.0,43.7,3,0
23.92,75.28,295.2,0.3418,0.294,556.8,49.53,5.955,31.5,46.8,3,0
45.88,158.08,631.34,0.4527,0.6193,1612.0,46.77,6.726,12.5,65.2,3,0
12.88,21.69,62.31,0.4026,0.6644,525.6,58.44,0.888,13.7,37.8,3,0
46.74,137.92,449.82,0.418,0.39,2243.0,47.98,1.637,22.3,50.6,3,0
44.3,169.69,552.8,0.468,0.3806,674.2,64.87,5.398,19.2,77.7,3,0
23.7,41.94,100.44,0.2889,0.0853,1923.8,25.91,4.422,27.6,69.5,3,0
59.52,103.32,218.78,0.3075,0.3236,223.8,54.98,5.045,22.4,63.3,3,0
32.42,106.71,348.69,0.3613,0.6774,1244.8,46.86,2.192,10.5,67.7,3,0
58.03,132.77,282.06,0.3534,0.5872,2434.7,46.48,7.276,17.1,75.7,3,0
75.31,236.96,647.96,0.4823,0.1892,1797.3,24.55,1.183,32.5,76.4,3,0
24.44,69.99,161.15,0.2955,0.1219,3428.3,52.14,0.511,22.8,56.7,3,0
46.6,184.77,685.26,0.4317,0.5956,3084.5,59.02,3.701,29.9,69.0,3,0
14.54,54.11,224.8,0.3984,0.2988,1384.9,18.11,2.325,20.1,60.7,3,0
