rainfall_mm,river_level_m,drainage_capacity,soil_saturation,upstream_flow,elevation,slope,distance_river_km,past_rain_3day,past_rain_7day,humidity,month,flood
38.79,5.45,0.122,0.119,529.8,467.0,11.15,0.17,118.53,478.86,93.1,12,0
0.9,4.18,0.46,0.806,4159.4,53.2,4.69,2.465,4.43,24.01,61.3,6,0
80.0,10.93,0.987,0.167,3414.1,365.1,4.43,2.715,391.08,1107.27,93.9,1,0
66.32,2.7,0.191,0.99,171.2,313.0,13.43,1.637,309.59,1140.67,68.7,5,0
67.69,7.58,0.481,0.707,677.2,44.8,2.66,0.482,186.83,565.3,71.6,10,1
8.17,5.17,0.376,0.778,3181.8,170.0,8.03,1.55,22.78,46.78,98.6,5,0
89.1,0.97,0.915,0.321,3316.4,75.8,10.7,1.397,399.55,2235.1,88.0,10,0
9.06,4.49,0.882,0.706,3735.8,302.6,5.95,1.291,36.73,93.3,66.1,9,0
60.54,3.55,0.314,0.139,3604.0,239.1,0.6,1.235,240.06,1216.39,82.4,9,0
116.67,8.39,0.173,0.854,3301.0,3.1,3.42,0.235,289.17,979.26,77.0,1,1
5.33,11.41,0.664,0.253,3833.5,487.9,13.53,0.404,23.55,73.25,55.8,3,0
20.18,3.58,0.403,0.728,2879.7,175.4,7.85,0.205,71.19,410.36,94.4,4,0
43.49,9.83,0.705,0.302,1311.3,129.8,12.23,0.555,133.25,616.78,91.1,12,0
22.38,1.14,0.129,0.162,4562.8,112.0,8.34,0.612,101.35,481.18,88.9,1,0
14.27,6.69,0.22,0.533,100.9,80.2,14.15,0.562,41.1,207.1,78.0,9,0
42.4,1.31,0.718,0.252,1839.1,499.6,13.64,0.474,160.64,540.36,61.0,2,0
2.82,11.24,0.291,0.756,3647.1,148.3,7.24,2.659,8.83,37.55,94.2,5,1
56.58,9.31,0.872,0.314,2141.5,203.4,4.77,3.414,202.23,623.06,67.6,3,0
7.82,8.07,0.153,0.408,133.9,435.8,9.03,0.792,12.84,68.54,51.0,4,0
94.25,9.97,0.294,0.611,339.2,321.3,10.12,0.728,293.48,1290.49,99.1,4,1
12.59,7.95,0.999,0.356,3246.7,185.0,7.48,3.716,43.39,129.04,93.1,11,0
28.73,11.64,0.49,0.44,4824.7,449.3,12.33,1.956,92.63,518.66,81.1,2,0
68.47,8.71,0.733,0.834,2763.8,375.1,2.75,0.695,305.8,1322.07,50.6,11,0
3.08,11.13,0.264,0.261,2538.7,114.7,5.02,2.501,7.97,31.74,61.4,2,0
47.96,6.45,0.649,0.174,1598.4,322.2,10.3,0.845,220.35,471.09,72.6,8,0
85.75,1.85,0.753,0.396,1290.9,461.3,3.7,1.766,249.71,1408.19,81.4,2,0
16.26,6.57,0.383,0.482,114.7,248.7,6.6,9.822,63.92,371.34,85.4,10,0
46.46,1.96,0.846,0.588,1372.0,367.1,14.46,0.718,83.8,356.17,89.4,7,0
49.1,7.31,0.643,0.435,2251.1,485.6,9.39,5.334,108.04,407.31,77.8,1,0
67.36,6.05,0.45,0.811,997.8,345.5,14.24,0.773,280.51,964.46,82.8,1,0
3.29,7.66,0.602,0.135,445.9,52.1,10.84,1.554,5.08,15.61,90.6,10,0
6.22,0.62,0.619,0.489,3591.5,123.0,10.87,1.232,30.4,130.64,86.0,3,0
58.27,2.74,0.249,0.444,4474.2,298.0,8.88,3.057,126.28,317.26,97.7,3,0
50.39,6.15,0.462,0.683,4684.5,138.5,2.13,0.126,234.56,1331.55,93.7,11,0
48.77,11.43,0.409,0.97,3093.8,478.8,7.8,1.973,161.22,435.9,58.5,9,1
52.13,4.91,0.461,0.559,273.3,203.3,3.79,2.86,181.19,902.7,97.4,2,0
16.2,5.38,0.785,0.988,3706.9,229.2,14.98,1.278,29.07,93.82,60.2,4,0
48.13,8.72,0.534,0.372,559.4,351.1,4.0,0.223,133.71,388.35,99.6,3,0
50.26,7.44,0.946,0.128,3352.0,262.6,3.46,0.562,102.87,435.27,85.1,7,0
15.0,3.94,0.364,0.249,3899.0,191.7,9.36,2.277,50.1,253.55,81.4,6,0
105.3,5.22,0.474,0.456,3632.1,39.2,7.66,4.516,360.93,1771.06,66.2,9,1
56.58,3.0,0.808,0.385,4759.9,298.6,0.32,1.095,225.42,661.62,56.7,8,0
1.7,11.61,0.591,0.187,3693.3,433.9,1.94,1.644,7.76,25.76,56.3,2,0
62.98,2.0,0.592,0.489,3469.1,343.2,12.17,0.519,197.67,1082.3,93.3,3,0
5.89,4.78,0.148,0.404,1316.1,191.4,7.26,1.063,13.64,66.72,71.6,1,0
67.55,0.8,0.459,0.21,4624.6,64.7,2.19,0.821,180.18,874.03,78.0,8,0
80.55,3.05,0.344,0.367,905.9,408.4,6.98,2.131,359.64,1106.13,96.6,2,0
11.28,9.48,0.999,0.898,4525.4,470.9,3.8,8.36,22.67,117.16,62.8,4,0
73.72,2.81,0.378,0.372,1570.2,194.7,3.35,3.357,272.42,935.39,88.2,2,0
54.45,1.42,0.896,0.743,659.5,364.6,14.37,0.427,84.16,303.46,73.5,2,0
68.77,5.96,0.709,0.651,4135.1,206.0,5.43,1.724,162.29,511.26,60.6,3,0
106.39,0.61,0.407,0.484,22.5,251.6,0.7,0.137,379.8,944.01,92.6,10,0
31.41,1.47,0.589,0.315,4162.1,418.4,14.55,0.567,97.3,358.2,84.0,5,0
13.62,9.79,0.856,0.432,1318.9,42.6,11.92,0.378,43.96,90.89,54.7,8,0
8.87,9.37,0.895,0.633,4424.8,265.6,3.82,0.818,33.8,129.24,77.1,10,0
11.45,11.02,0.244,0.416,3460.5,108.1,6.13,2.271,26.57,130.19,92.6,2,1
37.3,10.33,0.406,0.293,3334.3,170.6,12.93,1.384,92.61,541.13,53.3,5,0
51.94,8.36,0.402,0.205,1832.9,322.6,5.36,5.403,202.34,468.3,70.8,11,0
49.68,1.1,0.138,0.892,306.4,14.6,8.51,0.478,168.13,525.44,90.3,12,0
68.95,9.5,0.638,0.496,4152.1,297.3,8.02,0.906,106.95,425.28,92.9,4,0
40.46,10.22,0.869,0.663,862.8,142.4,6.02,0.801,155.6,417.24,88.8,12,0
90.87,9.69,0.443,0.541,1867.6,335.1,9.59,0.538,333.54,822.94,65.3,3,1
30.74,6.35,0.766,0.885,3005.8,71.6,7.1,9.973,54.56,207.84,75.3,10,0
135.21,3.18,0.665,0.592,2416.4,368.2,0.32,0.98,556.55,2405.92,87.1,6,0
61.9,10.22,0.438,0.533,1001.3,323.2,12.22,5.644,205.96,1087.63,57.6,9,1
10.0,8.86,0.227,0.932,711.7,485.6,1.7,0.99,22.17,132.8,79.7,8,0
2.52,11.78,0.738,0.748,625.0,455.7,6.96,0.457,8.71,44.39,86.0,2,0
56.89,2.29,0.869,0.2,4316.4,142.4,8.7,0.254,203.89,588.29,92.5,1,0
32.18,3.1,0.717,0.26,167.5,14.6,10.58,3.87,151.9,758.26,55.6,8,0
64.99,2.94,0.116,0.808,4885.3,328.0,6.16,0.1,266.3,1104.76,66.5,5,0
56.56,9.61,0.295,0.852,1000.7,301.8,11.03,6.671,144.62,550.01,77.1,2,1
37.45,2.65,0.163,0.591,560.5,14.7,1.97,1.083,71.66,411.54,85.1,10,0
10.36,1.27,0.613,0.599,2889.1,62.2,9.8,0.568,46.49,223.52,86.5,1,0
13.02,11.98,0.781,0.669,409.1,292.8,12.4,1.922,58.08,274.55,62.7,11,0
24.37,0.79,0.2,0.495,3016.2,456.0,13.34,0.285,51.51,105.45,50.7,8,0
69.97,10.11,0.855,0.712,4254.6,453.3,8.69,0.15,120.18,656.2,84.7,8,1
47.49,4.7,0.6,0.198,249.0,76.6,4.69,3.518,189.57,980.69,95.5,6,0
3.6,10.18,0.721,0.965,4001.3,192.9,2.45,1.106,14.51,46.36,89.9,5,0
46.06,6.88,0.974,0.775,1978.4,22.6,5.18,1.461,97.65,309.4,81.1,5,0
53.49,10.87,0.175,0.668,805.9,235.2,8.1,0.389,205.32,454.56,98.9,6,1
9.06,11.15,0.911,0.385,888.7,376.8,2.94,0.127,22.45,49.46,71.7,5,0
45.38,0.6,0.213,0.245,4594.6,395.2,14.29,0.917,109.46,511.68,76.3,2,0
42.04,1.37,0.454,0.468,561.9,250.0,13.46,1.411,110.8,304.15,50.6,7,0
0.0,3.38,0.866,0.695,4335.2,48.8,0.49,2.9,0.01,0.07,97.3,4,0
52.52,8.2,0.916,0.67,2725.8,191.3,8.43,1.391,226.67,1217.11,79.2,7,0
59.63,10.72,0.556,0.444,204.9,466.1,11.84,3.051,193.51,657.06,69.5,1,0
77.91,5.79,0.635,0.652,2327.7,115.6,3.68,0.245,198.13,697.47,52.2,6,1
76.88,7.48,0.737,0.832,4089.1,160.6,7.86,0.132,353.19,1168.76,68.1,2,0
8.22,2.67,0.849,0.124,3633.8,373.7,6.09,0.346,13.91,32.97,50.2,3,0
7.18,9.76,0.209,0.506,2449.0,367.1,2.95,2.957,30.78,65.44,66.2,3,0
58.03,11.62,0.829,0.783,4301.6,456.2,9.22,2.849,246.34,938.2,97.6,10,0
57.98,3.59,0.533,0.592,610.6,194.7,14.91,0.305,138.43,799.03,57.7,1,0
58.03,6.19,0.506,0.686,4550.6,257.8,5.48,0.1,127.31,721.73,77.3,5,0
174.85,1.49,0.482,0.565,4233.7,234.2,8.29,2.312,797.55,4178.65,59.3,8,1
59.98,6.93,0.558,0.993,3544.3,463.9,4.92,3.866,207.3,935.82,89.2,12,0
79.74,6.28,0.951,0.149,4091.3,384.9,13.15,2.806,132.46,718.58,78.1,8,0
73.39,2.16,0.593,0.542,2723.6,415.9,12.97,0.453,338.91,1376.06,60.1,10,0
62.8,5.58,0.958,0.182,3379.1,67.4,2.68,1.753,170.91,464.98,93.3,12,0
28.97,4.34,0.262,0.244,2807.4,396.1,13.5,2.832,78.14,370.11,89.2,11,0
66.56,6.5,0.752,0.445,1783.6,217.1,2.27,0.591,249.72,1419.03,97.6,7,0
12.95,7.24,0.831,0.24,2848.6,12.6,1.43,1.5,49.4,102.68,50.0,7,0
31.71,0.6,0.711,0.967,1294.8,31.0,9.79,0.755,86.78,260.85,72.9,8,0
23.01,9.25,0.646,0.952,2207.0,339.3,5.79,0.511,46.06,141.02,100.0,8,0
42.87,8.7,0.608,0.402,1411.1,186.6,7.96,6.986,147.16,352.61,90.6,5,0
121.01,4.71,0.875,0.676,623.2,434.2,9.79,4.874,446.31,1295.19,91.6,7,0
25.35,1.11,0.839,0.58,1616.1,367.4,0.79,1.18,114.37,404.4,81.1,12,0
64.02,9.18,0.21,0.834,4261.4,11.8,4.39,0.294,204.58,1178.22,85.6,2,1
16.45,11.48,0.864,0.665,1911.6,343.8,6.91,2.603,61.83,336.43,90.3,4,0
23.48,3.26,0.473,0.1,3742.5,97.0,4.0,0.591,39.7,229.6,54.6,6,0
78.11,4.22,0.328,0.787,884.2,211.9,0.73,0.369,361.73,897.92,84.6,11,0
42.25,2.61,0.883,0.772,2127.9,312.7,1.3,0.961,111.76,236.06,90.8,10,0
2.28,7.13,0.489,0.559,583.1,436.5,12.03,1.509,8.46,20.64,52.0,3,0
14.96,2.28,0.828,0.913,701.7,228.6,13.67,0.205,70.43,398.41,64.9,2,0
63.79,4.6,0.337,0.918,3091.0,404.4,2.28,1.696,276.63,727.52,66.2,12,0
14.44,8.52,0.104,0.572,3041.3,391.7,3.74,0.1,53.88,231.17,92.7,1,0
47.58,6.94,0.546,0.647,1074.7,207.9,9.78,4.449,188.53,548.67,89.0,4,0
41.6,4.94,0.19,0.997,2377.4,251.0,14.31,5.07,196.46,409.14,82.8,2,0
17.19,5.33,0.779,0.369,4317.9,350.5,4.49,2.642,74.66,174.6,90.2,3,0
115.04,6.96,0.348,0.392,879.3,16.5,12.83,1.257,418.11,2023.3,72.7,12,0
62.19,0.57,0.499,0.264,105.9,445.5,7.59,0.588,236.65,645.93,93.7,10,0
30.88,1.4,0.178,0.906,3263.5,385.1,14.35,2.726,62.24,181.52,61.7,11,0
46.53,10.63,0.358,0.77,277.0,125.5,2.04,5.371,146.35,513.55,85.2,11,1
16.84,1.4,0.803,0.195,4899.9,490.6,14.61,0.345,42.99,199.02,62.1,11,0
69.84,8.63,0.236,0.984,3052.0,90.5,6.61,1.254,210.34,815.58,52.0,6,1
12.26,11.08,0.682,0.758,2357.3,457.1,14.29,0.757,46.81,270.51,64.2,10,0
35.98,3.61,0.926,0.865,2155.7,162.9,6.88,0.882,72.76,271.89,74.6,3,0
57.67,4.76,0.712,0.143,2869.6,381.8,7.95,1.041,90.02,251.74,92.2,3,0
70.3,7.04,0.83,0.554,462.2,228.7,12.07,6.065,203.12,841.83,75.4,4,0
2.01,10.64,0.198,0.729,4650.8,368.5,10.84,0.599,5.28,20.09,59.0,3,0
28.29,11.33,0.326,0.589,3132.0,78.7,9.29,1.357,84.07,432.85,99.6,6,1
23.38,9.0,0.905,0.7,928.1,135.5,6.25,6.052,111.26,638.67,63.5,9,0
17.13,1.5,0.744,0.836,2817.3,50.8,11.89,1.293,68.1,364.02,99.3,8,0
101.79,8.2,0.676,0.437,674.9,432.7,14.22,3.984,269.35,957.85,96.8,2,0
54.17,5.22,0.697,0.864,97.6,148.9,0.15,0.121,115.25,330.14,77.1,3,0
4.13,5.91,0.473,0.247,3156.3,347.5,8.82,6.117,15.14,85.65,54.6,8,0
72.13,1.07,0.14,0.344,3245.9,410.3,12.99,0.415,274.19,971.65,84.8,3,0
114.28,2.7,0.806,0.139,2922.6,450.8,9.8,7.818,364.84,1853.71,92.3,5,0
76.14,9.59,0.711,0.428,925.6,54.0,12.01,0.386,170.9,1018.24,72.3,12,0
13.18,5.72,0.526,0.442,3021.1,446.6,13.43,1.175,21.08,90.87,62.0,11,0
23.05,3.97,0.91,0.825,292.0,99.4,11.26,0.738,56.01,219.54,90.1,12,0
84.34,4.92,0.403,0.688,3050.1,368.7,10.76,1.136,261.47,1254.91,77.3,12,0
15.23,10.33,0.365,0.493,2774.5,364.7,14.47,0.577,64.85,180.01,59.9,9,0
55.53,9.11,0.886,0.687,3279.7,5.2,12.96,6.723,249.24,985.25,97.5,2,0
67.11,3.63,0.817,0.148,4478.4,111.1,12.23,0.73,197.66,642.27,97.4,9,0
7.56,1.85,0.563,0.262,4253.3,246.5,1.3,2.118,32.39,86.07,68.4,10,0
37.92,3.4,0.218,0.664,4903.5,210.6,3.59,0.296,188.7,837.94,53.2,5,0
73.44,11.09,0.294,0.677,4881.4,459.4,8.35,3.479,294.37,1266.64,81.5,9,1
4.15,7.19,0.691,0.797,3863.9,180.5,10.64,1.564,16.79,84.72,65.9,4,0
31.16,6.64,0.447,0.463,4782.5,468.6,4.55,7.769,145.93,801.46,53.3,8,0
3.67,7.36,0.853,0.75,4337.7,230.3,1.4,1.101,9.85,28.4,94.6,8,0
97.13,4.71,0.955,0.716,3640.6,482.2,4.67,0.435,149.51,765.32,99.9,3,0
10.05,9.78,0.825,0.967,386.2,368.9,11.57,0.849,49.82,172.84,67.5,5,0
24.6,6.52,0.44,0.294,254.8,414.8,13.16,2.671,79.12,357.26,87.2,10,0
44.58,1.84,0.81,0.597,4189.6,53.3,13.69,2.152,189.44,1023.17,53.3,1,0
90.44,1.98,0.416,0.642,2453.4,293.5,5.68,3.013,392.87,1188.32,68.5,6,0
10.26,6.67,0.25,0.999,4074.9,72.2,5.59,0.153,29.65,130.58,55.4,9,1
80.71,11.27,0.13,0.281,1571.5,149.5,6.1,1.737,273.97,1074.31,52.8,12,1
40.36,4.05,0.447,0.571,1994.3,312.2,5.64,5.381,136.8,706.22,79.4,1,0
5.65,10.5,0.913,0.412,3503.9,363.4,9.99,0.228,12.82,61.41,90.1,2,0
56.17,9.29,0.315,0.573,4577.5,20.6,5.37,0.198,107.39,545.38,72.6,7,1
46.97,3.35,0.286,0.309,447.9,265.9,0.31,2.522,159.81,503.67,76.2,6,0
18.99,0.92,0.973,0.143,4308.8,283.1,6.59,0.757,36.47,175.72,63.5,10,0
42.44,1.67,0.123,0.615,3967.1,40.3,3.36,2.149,115.08,509.01,86.8,11,0
26.51,8.88,0.807,0.402,1584.5,250.8,0.43,1.577,57.04,218.27,68.1,3,0
43.97,2.8,0.389,0.264,1782.5,357.2,7.06,8.547,174.76,613.99,53.4,2,0
63.17,4.77,0.134,0.392,241.8,27.6,3.09,4.397,287.57,956.58,58.3,7,0
95.51,6.27,0.926,0.144,88.5,380.4,6.79,2.267,336.46,685.93,56.4,10,0
